subject,date,delivered_to,class
Re: lifegem,"Thu, 22 Aug 2002 16:30:07 -0300",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Formatting a windows partition from Linux,"Thu, 22 Aug 2002 20:58:07 +0100",zzzz@localhost.netnoteinc.com,ham
public mailing list sign up package,"Thu, 22 Aug 2002 16:09:34 -0400 (EDT)",zzzz@localhost.netnoteinc.com,ham
Entrepreneurs,"Thu, 22 Aug 2002 22:58:34 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: hauns_froehlingsdorf@infinetivity.com,"Thu, 22 Aug 2002 16:07:05 -0500",zzzz@localhost.netnoteinc.com,ham
[ILUG] Re: Sun Solaris,"Thu, 22 Aug 2002 22:25:12 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Encryption approach to secure web applications,"Thu, 22 Aug 2002 23:49:00 +0200",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Re: Sun Solaris,"Thu, 22 Aug 2002 22:58:39 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Thu, 22 Aug 2002 15:04:02 -0700",zzzz@localhost.netnoteinc.com,ham
RE: [ILUG] Newbie seeks advice - Suse 7.2,"Thu, 22 Aug 2002 23:06:27 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [IIU] Eircom aDSL Nat'ing,"Fri, 23 Aug 2002 00:17:46 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 02:57:05 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: The case for spam,"Fri, 23 Aug 2002 01:20:23 +0000",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Thu, 22 Aug 2002 21:44:23 -0400",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Newbie seeks advice - Suse 7.2,"Fri, 23 Aug 2002 08:25:01 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 01:11:02 -0700",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 10:44:35 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
FYI - gone this weekend,"Fri, 23 Aug 2002 03:31:20 -0700",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] eircoms adsl modems,"Thu, 29 Aug 2002 16:17:26 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Internet saturation (but not in Iceland),29 Aug 2002 11:19:27 -0400,zzzz@localhost.netnoteinc.com,ham
Re: Computational Recreations,29 Aug 2002 08:28:13 -0700,zzzz@localhost.netnoteinc.com,ham
Re: [SAtalk] O.T. Habeus -- Why?,"Thu, 29 Aug 2002 08:32:08 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
[ILUG] Looking for a file / directory in zip file,"Thu, 29 Aug 2002 16:37:26 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Looking for a file / directory in zip file,"Thu, 29 Aug 2002 16:41:14 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Re: serial console...not quite working,"Thu, 29 Aug 2002 16:51:17 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] eircoms adsl modems,"Thu, 29 Aug 2002 16:58:04 +0100",zzzz@localhost.netnoteinc.com,ham
people we know on the web,"Thu, 29 Aug 2002 17:07:35 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Fw: [nessie] New Nessie Pics,"Thu, 29 Aug 2002 18:00:08 +0100",zzzz@localhost.netnoteinc.com,ham
[IIU] Viruses and Bounced Mail,"Thu, 29 Aug 2002 18:04:41 +0100",zzzz@localhost.netnoteinc.com,ham
[scoop] Scoop MS Word .doc file into something that plucker or other Palm app can display?,"Thu, 29 Aug 2002 17:10:47 -0400 (EDT)",zzzz@localhost.netnoteinc.com,ham
Re: [scoop] Scoop MS Word .doc file into something that plucker or other Palm app can display?,"Fri, 30 Aug 2002 08:27:09 +0800",zzzz@localhost.netnoteinc.com,ham
[use Perl] Headlines for 2002-08-30,"Fri, 30 Aug 2002 02:00:24 +0000",zzzz@localhost.netnoteinc.com,ham
Re: [scoop] Scoop MS Word .doc file into something that plucker or other Palm app can display?,30 Aug 2002 08:50:38 -0500,zzzz@localhost.netnoteinc.com,ham
Tiny DNS Swap,"Fri, 30 Aug 2002 11:25:31 -0400",zzzz@localhost.netnoteinc.com,ham
Re: Tiny DNS Swap,"Fri, 30 Aug 2002 10:30:36 -0500",zzzz@localhost.netnoteinc.com,ham
"NTK Now, 2002-08-30","Fri, 30 Aug 2002 16:33:18 +0100",zzzz@localhost.netnoteinc.com,ham
find the bug,"Fri, 30 Aug 2002 16:36:46 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Tiny DNS Swap,"Fri, 30 Aug 2002 19:39:57 +0400",zzzz@localhost.netnoteinc.com,ham
Save up to 70% on international calls!,"Fri, 30 Aug 2002 17:42:52 +0100",zzzz@localhost.netnoteinc.com,ham
[Ximian Updates] Hyperlink handling in Gaim allows arbitrary code to be executed,"Fri, 30 Aug 2002 13:14:24 -0400",zzzz@localhost.netnoteinc.com,ham
alsa-driver rebuild fails with undeclared USB symbol,"Fri, 30 Aug 2002 19:56:47 -0700",zzzz@localhost.netnoteinc.com,ham
Re: The case for spam,"Thu, 22 Aug 2002 18:25:48 -0300",yyyy@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 11:40:46 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: The case for spam,"Fri, 23 Aug 2002 16:30:01 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: The case for spam,"Fri, 23 Aug 2002 16:10:39 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
GPL limits put to a test,"Fri, 23 Aug 2002 18:33:37 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: The case for spam,"Fri, 23 Aug 2002 16:33:15 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: [vox] GPL limits put to a test,"Fri, 23 Aug 2002 19:42:44 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
The GOv gets tough on Net Users.....er Pirates..,"Fri, 23 Aug 2002 19:01:45 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: The GOv gets tough on Net Users.....er Pirates..,"Sat, 24 Aug 2002 01:12:31 -0700 (PDT)",yyyy@localhost.netnoteinc.com,ham
Re: Java is for kiddies,"Sun, 01 Sep 2002 18:07:29 -0700",zzzz@localhost.netnoteinc.com,ham
package my stuff please :P,"Mon, 02 Sep 2002 01:10:33 +0000",zzzz@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Sun, 1 Sep 2002 19:21:33 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
Re: Java is for kiddies,"Sun, 1 Sep 2002 20:43:51 -0700",zzzz@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Mon, 02 Sep 2002 06:44:25 +0000",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Seconds to date?,"Mon, 2 Sep 2002 08:30:57 +0100",zzzz@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Mon, 2 Sep 2002 00:37:39 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
[ILUG] Can I be added to your email distribution lists?,"Mon, 2 Sep 2002 04:53:53 -0500",zzzz@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Mon,  2 Sep 2002 11:54:55 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
[ILUG] VPN implementation,"Mon, 2 Sep 2002 11:00:17 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] The Age Old 'Which Mailer' Question,"Mon, 2 Sep 2002 11:35:53 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] What HOWTOs for SOHO system,"Mon, 2 Sep 2002 11:45:50 +0100",zzzz@localhost.netnoteinc.com,ham
RE: [ILUG] What HOWTOs for SOHO system,"Mon, 2 Sep 2002 11:46:57 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Email list management howto,"Mon, 2 Sep 2002 11:48:22 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Serial number in hosts file,"Mon, 2 Sep 2002 11:57:16 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Email list management howto,"Mon, 02 Sep 2002 12:00:39 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Email list management howto,"Mon, 02 Sep 2002 12:00:49 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Serial number in hosts file,"Mon, 02 Sep 2002 12:04:04 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Damian Conway in Belfast...,"Mon, 2 Sep 2002 07:50:21 -0400",zzzz@localhost.netnoteinc.com,ham
[ILUG] Marketing SIG has a good start :),"Mon, 2 Sep 2002 13:07:54 +0100",zzzz@localhost.netnoteinc.com,ham
RE: [ILUG] Redhat 8.0,"Mon, 2 Sep 2002 15:46:58 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] freeserve in the uk?,"Mon, 2 Sep 2002 15:58:51 +0100",zzzz@localhost.netnoteinc.com,ham
Re: bad DCC traffic from e-corp.net,"Mon, 2 Sep 2002 10:25:57 -0700",zzzz@localhost.spamassassin.taint.org,ham
RE: [ILUG] VPN implementation,"Mon, 2 Sep 2002 20:17:01 +0100",zzzz@localhost.spamassassin.taint.org,ham
RE: [ILUG] Drop in replacement for Ingres Database?,"Mon, 7 Oct 2002 09:18:21 +0100",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] serial port transient failure,"Mon, 07 Oct 2002 10:24:40 +0200",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] rpm dependencies,"Mon, 7 Oct 2002 09:30:01 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] rpm dependencies,"Mon, 07 Oct 2002 10:34:22 +0200",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] Interesting article on free software licences,"Mon, 7 Oct 2002 09:43:11 +0100 (BST)",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] Retrieving read mail from webmail.eircom.net via POP ?,07 Oct 2002 10:10:00 +0100,zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] Retrieving read mail from webmail.eircom.net via POP ?,07 Oct 2002 10:27:03 +0100,zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] adsl router modem combo,"Mon, 7 Oct 2002 10:35:39 +0100 (IST)",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] Interesting article on free software licences,"Mon, 7 Oct 2002 10:37:26 +0100",zzzz@localhost.spamassassin.taint.org,ham
[Same thread ish] [ILUG] adsl router modem combo,"Mon, 7 Oct 2002 10:41:45 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] adsl router modem combo,"Mon, 7 Oct 2002 11:32:54 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Re: Megalithomania UnPissup,"Mon, 07 Oct 2002 12:51:33 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Re: Megalithomania UnPissup,"Mon, 7 Oct 2002 06:54:11 -0500",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] SETI at Home,"Mon, 7 Oct 2002 07:00:39 -0500",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] A New Theory on Mapping the New World,"Mon, 07 Oct 2002 13:01:09 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Re: Megalithomania UnPissup,"Mon, 7 Oct 2002 07:01:53 -0500",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Man admits Soham kidnapping hoax calls,"Mon, 07 Oct 2002 13:22:03 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] RE:Prophecies,"Mon, 07 Oct 2002 16:55:01 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The tenth planet,"Mon, 07 Oct 2002 17:13:59 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 7 Oct 2002 16:42:27 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 7 Oct 2002 22:46:17 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Latest Iraq-related news,"Mon, 07 Oct 2002 21:59:24 -0000",zzzz@localhost.spamassassin.taint.org,ham
"[Razor-users] Razor2 error: can't find ""new""","Mon, 07 Oct 2002 15:22:44 -0700",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Re: Latest Iraq-related news,"Mon, 07 Oct 2002 22:29:21 -0000",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 07 Oct 2002 23:41:30 +0100",zzzz@localhost.spamassassin.taint.org,ham
RE: The absurdities of life.,"Mon, 7 Oct 2002 21:39:39 -0400",zzzz@localhost.spamassassin.taint.org,ham
[use Perl] Headlines for 2002-10-08,"Tue, 08 Oct 2002 02:00:26 +0000",zzzz@localhost.spamassassin.taint.org,ham
[use Perl] Stories for 2002-10-08,"Tue, 08 Oct 2002 02:00:35 +0000",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Bigfoot and big feet on display at Peabody,"Mon, 7 Oct 2002 22:23:11 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Fortean Times Online,"Mon, 7 Oct 2002 22:47:10 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] Good ISP for Mac?,"Mon, 7 Oct 2002 22:55:05 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 7 Oct 2002 23:11:08 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 7 Oct 2002 23:11:58 -0500",zzzz@localhost.spamassassin.taint.org,ham
xine src packge still gives errors,"Tue, 08 Oct 2002 09:30:10 +0200",zzzz@localhost.spamassassin.taint.org,ham
Teach a man to fish,"Tue, 08 Oct 2002 08:00:04 -0000",zzzz@localhost.spamassassin.taint.org,ham
Iran Pushes UN Intervention Against US,"Tue, 08 Oct 2002 08:00:08 -0000",zzzz@localhost.spamassassin.taint.org,ham
Man kills self with home booby-traps,"Tue, 08 Oct 2002 08:00:26 -0000",zzzz@localhost.spamassassin.taint.org,ham
Curried radiation burns,"Tue, 08 Oct 2002 08:00:26 -0000",zzzz@localhost.spamassassin.taint.org,ham
1987 copy of Nintendo zine going for $700 on eBay,"Tue, 08 Oct 2002 08:00:28 -0000",zzzz@localhost.spamassassin.taint.org,ham
How the other half gives,"Tue, 08 Oct 2002 08:00:30 -0000",zzzz@localhost.spamassassin.taint.org,ham
Police pay damages to journalist,"Tue, 08 Oct 2002 08:01:04 -0000",zzzz@localhost.spamassassin.taint.org,ham
10 die as Israeli helicopter fires on Palestinian crowd,"Tue, 08 Oct 2002 08:01:05 -0000",zzzz@localhost.spamassassin.taint.org,ham
Dawn raids stoke fires of resentment,"Tue, 08 Oct 2002 08:01:06 -0000",zzzz@localhost.spamassassin.taint.org,ham
New Solar System body revealed,"Tue, 08 Oct 2002 08:01:21 -0000",zzzz@localhost.spamassassin.taint.org,ham
Man leads machine in chess duel,"Tue, 08 Oct 2002 08:01:22 -0000",zzzz@localhost.spamassassin.taint.org,ham
Human handshake opens data stream,"Tue, 08 Oct 2002 08:01:22 -0000",zzzz@localhost.spamassassin.taint.org,ham
Geneticists and a tiny worm win Nobel prize,"Tue, 08 Oct 2002 08:01:22 -0000",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] packaging risks and the reputation of linux distributions,"Tue, 8 Oct 2002 03:09:59 -0700",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] packaging risks and the reputation of linux distributions,"Tue, 08 Oct 2002 12:23:34 +0200",zzzz@localhost.spamassassin.taint.org,ham
Re: [Webdev] mod_usertrack,"Tue, 8 Oct 2002 11:42:39 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Fake bank website cons victims,"Tue, 8 Oct 2002 12:03:55 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Uncle Mark seeks parole,"Tue, 08 Oct 2002 12:10:07 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] cheap linux PCs,"Tue, 8 Oct 2002 12:12:59 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Bashing the bishop,"Tue, 08 Oct 2002 12:14:41 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] And deliver us from weevil,"Tue, 08 Oct 2002 12:15:50 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Nobel astrophysicists,"Tue, 08 Oct 2002 12:17:28 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Lioness adopts fifth antelope,"Tue, 08 Oct 2002 12:18:52 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Dracula theme park could be switched to Bucharest,"Tue, 08 Oct 2002 13:28:56 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Language problems,"Tue, 08 Oct 2002 13:30:43 +0100",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Astro bits,"Tue, 08 Oct 2002 13:32:45 +0100",zzzz@localhost.spamassassin.taint.org,ham
RE: [ILUG] cheap linux PCs,"Tue, 8 Oct 2002 14:00:48 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: why is decentralization worth worrying about?,"Tue, 08 Oct 2002 06:08:05 -0700",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] FW: please give generously,"Tue, 8 Oct 2002 14:20:39 +0100",zzzz@localhost.spamassassin.taint.org,ham
Bush Covers the Waterfront,"Tue, 08 Oct 2002 09:21:18 -0400",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Pravda reports cities on the moon!,"Tue, 8 Oct 2002 09:24:39 -0400",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] cups question,"Tue, 8 Oct 2002 14:27:40 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: [ILUG] mini-itx,08 Oct 2002 14:36:33 +0100,zzzz@localhost.spamassassin.taint.org,ham
"[zzzzteana] ""Put this in your stereo and smoke it ... ""","Tue, 27 Aug 2002 18:40:01 -0600",zzzz@localhost.netnoteinc.com,ham
"Re: [zzzzteana] Not a materialisation, but a transfiguration","Tue, 27 Aug 2002 18:13:59 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Moon over ocean,"Tue, 27 Aug 2002 14:42:46 -0400",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Bad Buffalo,"Tue, 27 Aug 2002 23:38:48 -0500",zzzz@localhost.netnoteinc.com,ham
RE: [zzzzteana] Moon over ocean,"Tue, 27 Aug 2002 23:57:42 -0400",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Illusionist emerges after 24 hours underwater,"Wed, 28 Aug 2002 08:59:07 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] The Coming Firestorm,"Wed, 28 Aug 2002 09:02:46 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] re: Steam,"Wed, 28 Aug 2002 09:17:20 +0000",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Cambodian Buddhaas unearthed,"Wed, 28 Aug 2002 09:24:34 +0100",zzzz@localhost.netnoteinc.com,ham
"[zzzzteana] Height, weight, girth, etc","Wed, 28 Aug 2002 09:28:35 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Emigrate to Russia? That's a steppe too far,"Wed, 28 Aug 2002 09:31:57 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Six arrested for attacking Palio jockey who defected,"Wed, 28 Aug 2002 09:33:16 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] That wacky imam,"Wed, 28 Aug 2002 09:33:47 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] White Horse vandalised,"Wed, 28 Aug 2002 09:39:20 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Crop Idol: Crop circle competition,"Wed, 28 Aug 2002 08:45:25 -0000",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] That wacky imam,"Wed, 28 Aug 2002 09:51:47 +0100",zzzz@localhost.netnoteinc.com,ham
"[zzzzteana] It's August, and big cats are on the prowl","Wed, 28 Aug 2002 10:14:08 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] Fwd: Hill Monuments defaced to promote hunting,"Wed, 28 Aug 2002 10:14:30 +0100",zzzz@localhost.netnoteinc.com,ham
RE: [zzzzteana] Digest Number 2453,"Wed, 28 Aug 2002 10:42:25 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [SAtalk] Re: patent on TMDA-like system,"Wed, 28 Aug 2002 06:23:09 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: The GOv gets tough on Net Users.....er Pirates..,27 Aug 2002 13:49:25 -0400,zzzz@localhost.netnoteinc.com,ham
"Re: Startups, Bubbles, and Unemployment (fwd)","Tue, 27 Aug 2002 13:50:31 -0700",zzzz@localhost.netnoteinc.com,ham
Re: The GOv gets tough on Net Users.....er Pirates..,27 Aug 2002 13:30:53 -0400,zzzz@localhost.netnoteinc.com,ham
Canadians,"Wed, 28 Aug 2002 07:22:13 -0300",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] FWD [fort] Evidence Britons Were In The US In The6th Century,"Wed, 28 Aug 2002 11:15:49 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Secondhand books online,"Wed, 28 Aug 2002 11:15:12 +0100",zzzz@localhost.netnoteinc.com,ham
[zzzzteana] The new Steve Earle,"Wed, 28 Aug 2002 11:22:33 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] The new Steve Earle,"Wed, 28 Aug 2002 11:24:30 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Got me a crappy laptop,"Tue, 27 Aug 2002 19:14:48 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] find the biggest file,"Tue, 27 Aug 2002 12:31:52 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Got me a crappy laptop,"Tue, 27 Aug 2002 19:26:50 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] doolin,"Tue, 27 Aug 2002 21:19:10 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] find the biggest file,"Tue, 27 Aug 2002 20:36:02 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] find the biggest file,"Tue, 27 Aug 2002 21:25:02 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] converting strings of hex to ascii,"Tue, 27 Aug 2002 21:32:26 +0100 (IST)",zzzz@localhost.netnoteinc.com,ham
RE: [ILUG] doolin,"Tue, 27 Aug 2002 21:38:40 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Tue, 27 Aug 2002 22:31:39 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Tue, 27 Aug 2002 23:38:00 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] find the biggest file,"Wed, 28 Aug 2002 08:53:55 +0200",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Wed, 28 Aug 2002 09:11:21 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] [OT] Dell machine giving me hassle.,"Wed, 28 Aug 2002 09:29:19 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Wed, 28 Aug 2002 09:31:55 +0100",zzzz@localhost.netnoteinc.com,ham
