subject,date,delivered_to,class
Re: Want to go on a date?,"Mon, 26 Aug 2002 00:16:25 +0800",zzzz@localhost.spamassassin.taint.org,spam
ADV:  Harvest lots of E-mail addresses quickly !,"Sun, 1 Sep 2002 08:29:20 +0800",zzzz@localhost.spamassassin.taint.org,spam
Wanna see me get fisted?,"Sat, 31 Aug 2002 22:50:43 -0400 (EDT)",zzzz@localhost.spamassassin.taint.org,spam
Double Your Life Insurance at NO EXTRA COST!...               TCTOOM,"Fri, 23 Aug 2002 03:30:23 -1900",zzzz@localhost.spamassassin.taint.org,spam
Iran Pushes UN Intervention Against US,"Tue, 08 Oct 2002 08:00:08 -0000",zzzz@localhost.spamassassin.taint.org,ham
Re: The case for spam,"Fri, 23 Aug 2002 16:10:39 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: The GOv gets tough on Net Users.....er Pirates..,"Sat, 24 Aug 2002 01:12:31 -0700 (PDT)",yyyy@localhost.netnoteinc.com,ham
Online Doctors will fill your Viagra Prescription Now!!!                QEEB,"Sun, 25 Aug 2002 21:21:51 -1900",zzzz@localhost.spamassassin.taint.org,spam
[ILUG-Social] Low Price Tobacco,"Sat, 21 Sep 2002 18:53:47 +0200",zzzz@localhost.spamassassin.taint.org,spam
YOUR ACCOUNT HAS BEEN CLOSED!,"Sat, 21 Sep 2002 21:57:46 -0700",zzzz@localhost.spamassassin.taint.org,spam
KVim 6.1.141,"Thu, 10 Oct 2002 04:22:48 +1300",zzzz@localhost.spamassassin.taint.org,ham
Re: Another low probability event,"Wed, 28 Aug 2002 18:18:53 -0700",yyyy@localhost.netnoteinc.com,ham
[ILUG] Damian Conway in Belfast...,"Mon, 2 Sep 2002 07:50:21 -0400",zzzz@localhost.netnoteinc.com,ham
I NEED AN URGENT CAPABLE ASSISTANCE.TEL:+225 05775748,"Sun, 8 Sep 2002 15:29:20 +0200 (CEST)",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] Here is the information you requested,"Mon, 16 Sep 2002 19:44:00 -0400",zzzz@localhost.spamassassin.taint.org,spam
"Ack, apt-get still failing for me, stumped. [RH8]","Tue, 8 Oct 2002 20:01:49 -0400",zzzz@localhost.spamassassin.taint.org,ham
Re: Anolther sequence related traceback,"Mon, 26 Aug 2002 14:00:18 +0700",yyyy@localhost.netnoteinc.com,ham
[ILUG] please kindly get back to me,"Fri, 6 Sep 2002 10:04:50 +0200",zzzz@localhost.spamassassin.taint.org,spam
We Dare You to Find a Better Annuity,"Tue, 3 Sep 2002 19:20:07 -0400",zzzz@localhost.spamassassin.taint.org,spam
3 Cd Package: 300 Million Email Addresses + 1.5 Mil Fax Numbers $99.95,"Mon, 16 Sep 2002 11:19:40 -0700",zzzz@localhost.spamassassin.taint.org,spam
Definitely the answer many have been waiting for!!,"Thu, 19 Sep 2002 22:57:17 +0100",zzzz@localhost.spamassassin.taint.org,spam
people we know on the web,"Thu, 29 Aug 2002 17:07:35 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Re: This is NO JOKE! Speed up your CPU for under $30!,"Thu, 19 Sep 2002 10:38:16 -1600",zzzz@localhost.spamassassin.taint.org,spam
[zzzzteana] Bashing the bishop,"Tue, 08 Oct 2002 12:14:41 +0100",zzzz@localhost.spamassassin.taint.org,ham
Give Away FREE CD's - Earn $5K in 30 Days!,"Fri, 23 Aug 2002 04:30:48 +0900",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] Marketing SIG has a good start :),"Mon, 2 Sep 2002 13:07:54 +0100",zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] The tenth planet,"Mon, 07 Oct 2002 17:13:59 +0100",zzzz@localhost.spamassassin.taint.org,ham
The GOv gets tough on Net Users.....er Pirates..,"Fri, 23 Aug 2002 19:01:45 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
RE: [ILUG] doolin,"Tue, 27 Aug 2002 21:38:40 +0100",zzzz@localhost.netnoteinc.com,ham
Re: Java is for kiddies,28 Aug 2002 10:35:27 -0700,yyyy@localhost.netnoteinc.com,ham
Lease Deal,"Thu, 19 Sep 2002 18:24:11 +0100",zzzz@localhost.spamassassin.taint.org,spam
Re: [ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Wed, 28 Aug 2002 09:11:21 +0100",zzzz@localhost.netnoteinc.com,ham
"Re: Rambus, Man","Thu, 29 Aug 2002 12:06:43 -0300",yyyy@localhost.netnoteinc.com,ham
A CRY FOR HELP,"Fri, 23 Aug 2002 10:08:40 -0700",zzzz@localhost.spamassassin.taint.org,spam
DON'T LET A COMPUTER VIRUS RUIN YOUR DAY!          12879,"Sun, 25 Aug 2002 13:50:11 -1600",zzzz@localhost.spamassassin.taint.org,spam
RE: Java is for kiddies,"Mon, 2 Sep 2002 00:37:39 -0700 (PDT)",zzzz@localhost.netnoteinc.com,ham
[SAdev] Interesting approach to Spam handling..,"Thu, 22 Aug 2002 16:19:48 +0200",zzzz@localhost.netnoteinc.com,ham
Don't get caught by rising interest rates.,"Tue, 17 Sep 2002 13:28:38 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: [ILUG] Interesting article on free software licences,"Mon, 7 Oct 2002 10:37:26 +0100",zzzz@localhost.spamassassin.taint.org,ham
"zzzz,All New! Breast Enhancement","Wed, 28 Aug 2002 05:16:42 +0800",zzzz@localhost.spamassassin.taint.org,spam
Not too old to put out!                   26792,"Thu, 19 Sep 2002 02:29:10 -1600",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] [OT] Dell machine giving me hassle.,"Wed, 28 Aug 2002 09:29:19 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Hayes Accura ISDN PCI,"Wed, 28 Aug 2002 13:52:32 +0100",zzzz@localhost.netnoteinc.com,ham
Re: The Curse of India's Socialism,"Tue, 20 Aug 2002 15:01:36 -0700",yyyy@localhost.netnoteinc.com,ham
Re: CVS report,"Thu, 22 Aug 2002 12:49:41 -0500",yyyy@localhost.netnoteinc.com,ham
[zzzzteana] Man admits Soham kidnapping hoax calls,"Mon, 07 Oct 2002 13:22:03 +0100",zzzz@localhost.spamassassin.taint.org,ham
[ILUG] ASSISTANCE,"Tue, 17 Sep 2002 15:30:45 +0100",zzzz@localhost.spamassassin.taint.org,spam
Re: [ILUG] Using Normal IDE Device with a Dell Latitude CPx laptop,"Wed, 28 Aug 2002 09:31:55 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] semaphores on linux RH7.3,"Fri, 6 Sep 2002 11:24:17 +0100 (BST)",zzzz@localhost.spamassassin.taint.org,ham
FW: Make Money Fast And Legal! As Seen on TV! 65000$+,"Sat, 31 Aug 2002 12:57:22 +0100",zzzz@localhost.spamassassin.taint.org,spam
Re: [ILUG] Formatting a windows partition from Linux,"Thu, 22 Aug 2002 20:58:07 +0100",zzzz@localhost.netnoteinc.com,ham
Re: ActiveBuddy,"Wed, 09 Oct 2002 10:35:55 +0530",zzzz@localhost.spamassassin.taint.org,ham
[ILUG-Social] urgent assistance,"Mon, 09 Sep 2002 23:16:35",zzzz@localhost.spamassassin.taint.org,spam
Pru Life's UL Portfolio Rocks,"Tue, 10 Sep 2002 18:52:25 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: The GOv gets tough on Net Users.....er Pirates..,"Sat, 24 Aug 2002 10:51:05 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Re: Java is for kiddies,"Sun, 1 Sep 2002 20:43:51 -0700",zzzz@localhost.netnoteinc.com,ham
"Never pay for porn again, YOUR FREE PAYSITE is here! 6277zwyL0-111bAgY1254IhZJ0-37-27","Sat, 14 Sep 2002 11:22:43 -0700",zzzz@localhost.spamassassin.taint.org,spam
My source: RE: A biblical digression,"Sun, 25 Aug 2002 10:17:46 -0700",yyyy@localhost.netnoteinc.com,ham
Best news yet,"Tue, 27 Aug 2002 05:19:21 -0100",zzzz@localhost.spamassassin.taint.org,spam
"zzzz, do we have your money?",19 Sep 2002 12:28:54 -0000,zzzz@localhost.spamassassin.taint.org,spam
Re: The GOv gets tough on Net Users.....er Pirates..,26 Aug 2002 12:39:29 -0700,yyyy@localhost.netnoteinc.com,ham
Wall Street's dirty little secret ...,"Sun, 08 Sep 2002 23:07:56 +1000",zzzz@localhost.spamassassin.taint.org,spam
MULTIPLY YOUR CUSTOMER BASE!,"Thu, 22 Aug 2002 13:18:16 -0500",zzzz@localhost.spamassassin.taint.org,spam
FW: [ILUG] Using Normal IDE Device with a Dell Latitude CPx lapto p,"Wed, 28 Aug 2002 09:36:39 +0100",zzzz@localhost.netnoteinc.com,ham
Teach and Grow Rich,"Wed, 28 Aug 2002 00:57:23 +0600",zzzz@localhost.spamassassin.taint.org,spam
Email Marketing,"Sun, 25 Aug 2002 17:17:12 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: [ILUG] find the biggest file,28 Aug 2002 10:14:34 +0100,zzzz@localhost.netnoteinc.com,ham
Re: [zzzzteana] Nothing like mama used to make,"Thu, 22 Aug 2002 15:01:20 +0100",zzzz@localhost.netnoteinc.com,ham
"$250,000 for only $6.50 per month.                    qkdjtqsscr","Mon, 26 Aug 2002 11:31:34 -0400",zzzz@localhost.spamassassin.taint.org,spam
RE: [ILUG] VPN implementation,"Mon, 2 Sep 2002 20:17:01 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: Entrepreneurs,"Sat, 24 Aug 2002 08:04:03 -0700",yyyy@localhost.netnoteinc.com,ham
=?iso-2022-jp?B?GyRCJDckOCRfJEgkYiRiJE4lMyVpJVwlbCE8JTclZyVzGyhK?=,Sat Sep  7 06:14:26 2002,freebsd-ports@freebsd.org,spam
Toners and inkjet cartridges for less....               NOAZ,"Wed, 28 Aug 2002 07:35:38 -1900",zzzz@localhost.spamassassin.taint.org,spam
Make Huge Profits on eBay                          951,"Sun, 08 Sep 2002 08:34:40 -0400",zzzz@localhost.spamassassin.taint.org,spam
[zzzzteana] Moscow bomber,"Thu, 22 Aug 2002 13:52:38 +0100",zzzz@localhost.netnoteinc.com,ham
"Friend,Instantly Copy ANY DVD or Playstation Game with this software......","Wed, 18 Sep 2002 11:43:02 PST",zzzz@localhost.spamassassin.taint.org,spam
private,"Sat, 21 Sep 02 05:01:06 Greenwich Standard Time",zzzz@localhost.spamassassin.taint.org,spam
Mothers you want to fuck,"Tue, 27 Aug 2002 15:53 -0400",zzzz@localhost.spamassassin.taint.org,spam
"!Gorgeous,Custom Websites - $399 Complete! (4156cumG9-855YQKc5@17)","Fri, 30 Aug 2002 19:26:08 -0400 (EDT)",zzzz@localhost.spamassassin.taint.org,spam
[scoop] ....It is not my fault. .- vwiid,"Mon, 23 Sep 2002 00:33:42 +0200",zzzz@localhost.spamassassin.taint.org,spam
ADV: Extended Auto Warranties Here hvgxs,"Wed, 18 Sep 2002 23:32:28 -0400",zzzz@localhost.spamassassin.taint.org,spam
Let me know what you think!32482,"Fri, 23 Aug 2002 04:30:44 -1900",zzzz@localhost.spamassassin.taint.org,spam
University Diplomas,"Wed, 11 Sep 2002 09:41:51 -1900",zzzz@localhost.spamassassin.taint.org,spam
Lord of the Ringtones: Arbocks vs. Seelecks,"Tue, 8 Oct 2002 19:29:41 -0700",zzzz@localhost.spamassassin.taint.org,ham
A marketplace where lenders compete for your business LFHLXHU,"Thu, 05 Sep 2002 13:10:16 -0700",zzzz@localhost.spamassassin.taint.org,spam
UCI Creative Writing,"Mon, 26 Aug 2002 07:43:03 -0700",yyyy@localhost.netnoteinc.com,ham
Re: The MIME information you requested (last changed 3154 Feb 14),"Tue, 27 Aug 2002 11:04:20 +0100",yyyy@localhost.netnoteinc.com,ham
latest php upgrade in 7.3,"Thu, 22 Aug 2002 16:10:38 -0700",yyyy@localhost.netnoteinc.com,ham
package my stuff please :P,"Mon, 02 Sep 2002 01:10:33 +0000",zzzz@localhost.netnoteinc.com,ham
Geneticists and a tiny worm win Nobel prize,"Tue, 08 Oct 2002 08:01:22 -0000",zzzz@localhost.spamassassin.taint.org,ham
Re: The GOv gets tough on Net Users.....er Pirates..,"Wed, 28 Aug 2002 18:51:32 +0200 (CEST)",yyyy@localhost.netnoteinc.com,ham
RE: Java is for kiddies,"Mon, 2 Sep 2002 16:19:13 -0700 (PDT)",yyyy@localhost.spamassassin.taint.org,ham
Attn: SYSTEMWORKS CLEARANCE SALE_ONLY $29.99                         12173,"Wed, 21 Aug 2002 21:28:57 -1600",zzzz@localhost.spamassassin.taint.org,spam
"Re: ""Ouch. Ouch. Ouch. Ouch. Ouch....""(was Re: My brain hurts)","Mon, 26 Aug 2002 09:56:55 -0700",yyyy@localhost.netnoteinc.com,ham
=?iso-2022-jp?B?GyRCJDckOCRfJEgkYiRiJE4lMyVpJVwlbCE8JTclZyVzGyhK?=,Mon Sep  9 16:18:29 2002,freebsd-bugs@freebsd.org,spam
Re: [zzzzteana] The Cafe Forteana is back online!!!,"Mon, 7 Oct 2002 23:11:08 -0500",zzzz@localhost.spamassassin.taint.org,ham
RE: Java is for kiddies,"Mon, 2 Sep 2002 11:48:36 -0700",yyyy@localhost.spamassassin.taint.org,ham
RE: [ILUG] [OT] Dell machine giving me hassle.,"Wed, 28 Aug 2002 09:59:21 +0100",zzzz@localhost.netnoteinc.com,ham
[ILUG] Seeking Your Partnership,"Tue, 10 Sep 2002 16:17:30 +0200",zzzz@localhost.spamassassin.taint.org,spam
[zzzzteana] Fw: [nessie] New Nessie Pics,"Thu, 29 Aug 2002 18:00:08 +0100",zzzz@localhost.netnoteinc.com,ham
"Last time you spent $25 did u make $100,000,s? Well this time you will. wju","Thu, 19 Sep 2002 02:14:46 +1000",zzzz@localhost.spamassassin.taint.org,spam
EIN News - FREE Trial,"Wed,  4 Sep 2002 16:51:20 +0200 (CEST)",zzzz@localhost.spamassassin.taint.org,spam
Take Advantage of Viral Marketing,"Thu, 29 Aug 2002 13:24:26 +1100",zzzz@localhost.spamassassin.taint.org,spam
.Message report from your contact page....//ytu855 rkq,"Thu, 12 Sep 2002 04:10:10 +0200",zzzz@localhost.spamassassin.taint.org,spam
Save $30k even if you've refi'd           1090,"Tue, 27 Aug 2002 23:34:28 -1900",zzzz@localhost.spamassassin.taint.org,spam
Re: [zzzzteana] The new Steve Earle,"Wed, 28 Aug 2002 11:24:30 +0100",zzzz@localhost.netnoteinc.com,ham
Teach and Grow Rich,"Tue, 17 Sep 0102 16:06:15 -1100",zzzz@localhost.spamassassin.taint.org,spam
eBay PowerSeller Secrets                         6826,"Sat, 14 Sep 2002 08:19:51 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: [scoop] Scoop MS Word .doc file into something that plucker or other Palm app can display?,30 Aug 2002 08:50:38 -0500,zzzz@localhost.netnoteinc.com,ham
A better investment than the stock market.,"Mon, 02 Sep 2002 02:56:26 -0500",zzzz@localhost.spamassassin.taint.org,spam
Industry Forum #136,"Fri, 06 Sep 2002 11:12:45",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] Join the Web's Fastest Growing Singles Community 11.67,"Fri, 23 Aug 2002 04:10:14 -0600",zzzz@localhost.spamassassin.taint.org,spam
Z-app the Competition with Roster,"Mon, 2 Sep 2002 18:07:20 -0400",zzzz@localhost.spamassassin.taint.org,spam
GET IN AT THE TOP!,"Fri, 23 Aug 2002 19:27:52",zzzz@localhost.spamassassin.taint.org,spam
Free big cock in Pussy,"Sat, 24 Aug 2002 13:46:11 -0400",zzzz@localhost.spamassassin.taint.org,spam
[ILUG] Flat rate is back lads!,"Fri, 6 Sep 2002 09:22:32 +0100",zzzz@localhost.spamassassin.taint.org,ham
New Insurance Product - No Competition,"Fri, 30 Aug 2002 14:15:32 -0400",zzzz@localhost.spamassassin.taint.org,spam
"Up to $1,500.00 Part time                         22311","Fri, 30 Aug 2002 15:39:23 -1600",zzzz@localhost.spamassassin.taint.org,spam
RE: [ILUG] What HOWTOs for SOHO system,"Mon, 2 Sep 2002 11:46:57 +0100",zzzz@localhost.netnoteinc.com,ham
Newsletter Coach'Invest - Septembre 2002,Tue Sep  3 15:33:27 2002,freebsd-stable@freebsd.org,spam
[zzzzteana] That wacky imam,"Wed, 28 Aug 2002 09:33:47 +0100",zzzz@localhost.netnoteinc.com,ham
"Adv: Mortgage Quotes Fast Online, No Cost","Sun, 22 Sep 2002 05:40:10 -0400 (EDT)",zzzz@localhost.spamassassin.taint.org,spam
FREE HGH - Look 10 Years Younger in 3 Weeks!!!     HMUPRZD,"Mon, 26 Aug 2002 10:44:19 -1900",zzzz@localhost.spamassassin.taint.org,spam
Re: Apt repository authentication: it's time,"Wed, 9 Oct 2002 11:03:11 +0200",zzzz@localhost.spamassassin.taint.org,ham
[zzzzteana] Lioness adopts fifth antelope,"Tue, 08 Oct 2002 12:18:52 +0100",zzzz@localhost.spamassassin.taint.org,ham
Re: The case for spam,"Thu, 22 Aug 2002 18:25:48 -0300",yyyy@localhost.netnoteinc.com,ham
Incredible Pictures!!!!!!!!,"Fri, 23 Aug 2002 13:03:04 -0400",zzzz@localhost.spamassassin.taint.org,spam
Re: [zzzzteana] Fortean Times Online,"Mon, 7 Oct 2002 22:47:10 -0500",zzzz@localhost.spamassassin.taint.org,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 10:44:35 +0200 (CEST)",zzzz@localhost.netnoteinc.com,ham
Re: Entrepreneurs,"Fri, 23 Aug 2002 11:40:46 -0400 (EDT)",yyyy@localhost.netnoteinc.com,ham
Have tax problems?,2002/09/14 Sat 02:29:32 CDT,zzzz@localhost.spamassassin.taint.org,spam
Another low probability event,"Wed, 28 Aug 2002 10:40:28 -0700",yyyy@localhost.netnoteinc.com,ham
